,Date (GMT),Facebook Page,Post ID,Post Type,Post_Message,Tags,Campaign,Comments,Engaged Users,Engagement Rate,Reach,Reactions,Shares,Video Views
79,2019-03-11 14:40:56,Canadian Innovation,136461090093520_830527973988404,Video,🔴🎥Watch Live: Minister Bains makes major announcement in support of Canadian steel and aluminum sector.  🔴🎥Regardez en direct: Le min. Bains fait une annonce importante en soutien au secteur canadien de l’aluminium et de l’acier,,,5,203,0.070486,2880,28,8,691
80,2019-06-19 19:40:32,Canadian Innovation,136461090093520_559536574452634,Photo,"In the face of global economic challenges, the Government of Canada is continuing to invest in #innovation in Canada’s #aluminum industry to create well-paying middle-class jobs and ensure this sector continue to thrive in a competitive global market. http://ow.ly/YLsI50uImLi",,,1,38,0.05156,737,28,4,0
81,2019-06-11 12:48:39,Canadian Innovation,136461090093520_554793194926972,Photo,"Minister Bains was at #ConfMTL, hosted by International Economic Forum of the Americas to talk about how Canada can remain competitive and succeed in the global economy. http://ow.ly/4jo850uAzVw #DigitalCharter",,,1,35,0.047233,741,28,1,0
82,2019-05-21 19:36:29,Canadian Innovation,136461090093520_543640692708889,Photo,"All Canadians should have equal opportunity to participate in the digital world and the necessary tools to do so.  This is why today, Minister Bains met with Canadian business leaders at the @empireclubofcanada to discuss the government’s new #DigitalCharter. http://ow.ly/JkAM50ulE0B",,,0,44,0.04793,918,28,7,0
83,2019-05-21 13:31:35,Canadian Innovation,136461090093520_543501496056142,Photo,"Happy #CanadianInnovationWeek!  Canadian Innovation Week aims to strengthen Canada’s culture of innovation.  Together, let’s inspire the next generation and make Canada the most innovative country in the world!",,,0,53,0.036552,1450,28,7,0
84,2019-07-16 16:36:48,Canadian Innovation,136461090093520_2348676832046524,Video,🔴🎥Watch Live: Minister Bains makes important FedDev Ontario announcement  supporting a local  Mississauga steel company  🔴🎥Regardez en direct : Le ministre Bains fait une annonce importante de FedDev Ontario pour appuyer une entreprise locale d’acier à Mississauga.,,,3,161,0.075516,2132,28,5,584
85,2019-08-07 15:00:40,Canadian Science,126081027444465_2603912022994674,Photo,"Our spidey senses are tingling! 🕷️ A new cutting-edge technology from the University of Victoria has an unlikely inspiration: spider webs! Biomedical engineer Mohsen Akbari’s team studied how spiders secrete multiple proteins that create a web-spinning fibre. From that came “smart microfibres,” which can be woven into fabric to create “smart bandages” for treating burns and other wounds. Learn more about this tech: http://ow.ly/hklv50vqE4J",,,3,321,0.047825,6712,28,14,0
86,2019-03-14 15:55:05,Canadian Science,126081027444465_2352439468141932,Photo,The Sudbury Neutrino Laboratory (SNOLAB) is an underground lab founded to study neutrino physics. Its research is helping to answer complex questions about the nature of the universe. But don’t take our word for it: Dr. Arthur B. McDonald was awarded the 2015 Nobel Prize in Physics for his work on the SNO experiment. Find out how this world-class lab went from a dream to a reality: http://ow.ly/wteQ30o2IlW 📸: SNOLAB,,,0,69,0.036761,1877,28,3,0
87,2019-08-22 12:55:29,Canada Business,244892072221776_646708335848206,Video,"LIVE: Minister Ng announcing a major investment in #womenentrepreneurs  through the Women Entrepreneurship Strategy while in #Toronto |EN DIRECT: A #Toronto, la ministre Ng annonce un important investissement au titre de la Stratégie pour les femmes en entrepreneuriat qui bénéficiera aux #FemmesEntrepreneures",,,7,459,0.164398,2792,27,10,998
88,2019-05-29 17:43:28,Canadian Innovation,136461090093520_547715732301385,Link,"Thanks to the Industrial and Technological Benefits Policy, 10 women studying in the #STEM disciplines will get the opportunity to take on an exciting challenge in Canada’s defence and security industry. The Canadian Industrial Leadership Award is being set up by L3 WESCAM CAE and Thales Canada. Women enrolled in science, technology, engineering and mathematics (STEM) programs at universities across Canada are eligible to apply for this award, which will provide financial aid, mentorship and employment opportunities. Check it out: www.CILAward.ca!",,,1,50,0.064935,770,27,6,0
90,2019-08-21 16:36:54,Canadian Innovation,136461090093520_492102514911409,Video,LIVE: Min Bains announcing a @NGen_Canada milestone | EN DIRECT: Annonce par le min. Bains d’une étape importante pour @NGen_Canada,,,0,263,0.057789,4551,27,10,990
